metric_id,task,score_column,higher_score_means,n,n_proteins,n_retained,n_nonretained,auroc,ci_lo,ci_hi,ci_method,model,checkpoint,auroc_ci_lo,auroc_ci_hi,paired_diff_vs_rmsd,paired_diff_ci_lo,paired_diff_ci_hi,balanced_accuracy,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,compute_saved_at_fsr10,achieved_false_stop_rate,decision_threshold,subset
theta_pocket_8A,10ns,Theta_pocket_8A_mean_8_10,late non-retained,81,16.0,17.0,64.0,0.7803308823529411,0.608177261335156,0.9074074074074074,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_8A,10ns,,,,,,,,,,,,radius_sensitivity
theta_pocket_10A,10ns,Theta_pocket_10A_mean_8_10,late non-retained,81,16.0,17.0,64.0,0.7757352941176471,0.6017914600135966,0.9067833296646856,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_10A,10ns,,,,,,,,,,,,radius_sensitivity
rmsd_only,20ns,_proba,late retained,81,16.0,17.0,64.0,0.8143382352941176,0.7230608100752243,0.88666796875,"protein-clustered bootstrap, 5000 draws; fixed score",rmsd_only,20ns,0.7230608100752243,0.88666796875,0.0,0.0,0.0,0.7477022058823529,0.6099056548456703,0.8359407018442623,0.3950617283950617,0.058823529411764705,0.44,
T_whole_only,20ns,_proba,late retained,81,16.0,17.0,64.0,0.6378676470588235,0.4611800676554775,0.7602620967741934,"protein-clustered bootstrap, 5000 draws; fixed score",T_whole_only,20ns,0.4611800676554775,0.7602620967741934,-0.17647058823529416,-0.2849998640676399,-0.11057440476190485,0.6167279411764706,0.48349236022427966,0.7273394996637936,0.17777777777777778,0.058823529411764705,0.386,
Theta_whole_only,20ns,_proba,late retained,81,16.0,17.0,64.0,0.8272058823529411,0.699132696007696,0.9265563533730129,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_whole_only,20ns,0.699132696007696,0.9265563533730129,0.012867647058823484,-0.08799603174603181,0.1004383116883116,0.7008272058823529,0.575123106060606,0.8070175438596492,0.3160493827160494,0.058823529411764705,0.374,
T_pocket_only,20ns,_proba,late retained,81,16.0,17.0,64.0,0.6488970588235294,0.503287194198182,0.7783336133612646,"protein-clustered bootstrap, 5000 draws; fixed score",T_pocket_only,20ns,0.503287194198182,0.7783336133612646,-0.1654411764705882,-0.2639252185648066,-0.07622468989302016,0.6401654411764706,0.5178571428571429,0.7545470255550901,0.17777777777777778,0.058823529411764705,0.354,
Theta_pocket_only,20ns,_proba,late retained,81,16.0,17.0,64.0,0.8336397058823529,0.707972012627748,0.9256126516081241,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_only,20ns,0.707972012627748,0.9256126516081241,0.01930147058823528,-0.09495442708333339,0.10537071535022333,0.7086397058823529,0.5901930147058824,0.8093787202380951,0.345679012345679,0.058823529411764705,0.426,
T_whole_plus_Theta_whole,20ns,_proba,late retained,81,16.0,17.0,64.0,0.8051470588235294,0.6710163760339817,0.9042871195968211,"protein-clustered bootstrap, 5000 draws; fixed score",T_whole_plus_Theta_whole,20ns,0.6710163760339817,0.9042871195968211,-0.009191176470588203,-0.09938970183995972,0.06140794311145512,0.6870404411764706,0.5416666666666667,0.8008381564088084,0.32592592592592595,0.058823529411764705,0.38,
T_pocket_plus_Theta_pocket,20ns,_proba,late retained,81,16.0,17.0,64.0,0.8143382352941176,0.6916193181818182,0.910028791242713,"protein-clustered bootstrap, 5000 draws; fixed score",T_pocket_plus_Theta_pocket,20ns,0.6916193181818182,0.910028791242713,0.0,-0.09838531232515753,0.08281258087474126,0.6930147058823529,0.5666666666666667,0.8,0.3654320987654321,0.058823529411764705,0.454,
near_boundary_rmsd_only_20ns,,,,52,,,,0.7478991596638656,,,,rmsd_only,20ns,,,,,,,,,,,,near_boundary
near_boundary_T_whole_only_20ns,,,,52,,,,0.5798319327731093,,,,T_whole_only,20ns,,,,,,,,,,,,near_boundary
near_boundary_Theta_whole_only_20ns,,,,52,,,,0.8,,,,Theta_whole_only,20ns,,,,,,,,,,,,near_boundary
near_boundary_T_pocket_only_20ns,,,,52,,,,0.5495798319327732,,,,T_pocket_only,20ns,,,,,,,,,,,,near_boundary
near_boundary_Theta_pocket_only_20ns,,,,52,,,,0.8168067226890756,,,,Theta_pocket_only,20ns,,,,,,,,,,,,near_boundary
near_boundary_T_whole_plus_Theta_whole_20ns,,,,52,,,,0.7966386554621848,,,,T_whole_plus_Theta_whole,20ns,,,,,,,,,,,,near_boundary
near_boundary_T_pocket_plus_Theta_pocket_20ns,,,,52,,,,0.7899159663865546,,,,T_pocket_plus_Theta_pocket,20ns,,,,,,,,,,,,near_boundary
theta_pocket_6A,20ns,Theta_pocket_6A_mean_18_20,late non-retained,81,16.0,17.0,64.0,0.8318014705882353,0.7108279865295994,0.9209048602057076,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_6A,20ns,,,,,,,,,,,,radius_sensitivity
theta_pocket_8A,20ns,Theta_pocket_8A_mean_18_20,late non-retained,81,16.0,17.0,64.0,0.8382352941176471,0.7123624411962366,0.9251179075460829,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_8A,20ns,,,,,,,,,,,,radius_sensitivity
theta_pocket_10A,20ns,Theta_pocket_10A_mean_18_20,late non-retained,81,16.0,17.0,64.0,0.8345588235294118,0.7128813678088431,0.9230769230769231,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_10A,20ns,,,,,,,,,,,,radius_sensitivity
