metric_id,task,score_column,higher_score_means,n,n_proteins,n_retained,n_nonretained,auroc,ci_lo,ci_hi,ci_method,model,checkpoint,auroc_ci_lo,auroc_ci_hi,paired_diff_vs_rmsd,paired_diff_ci_lo,paired_diff_ci_hi,balanced_accuracy,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,compute_saved_at_fsr10,achieved_false_stop_rate,decision_threshold,subset
rmsd_only,20ns,_proba,late retained,81,16.0,17.0,64.0,0.8143382352941176,0.7230608100752243,0.88666796875,"protein-clustered bootstrap, 5000 draws; fixed score",rmsd_only,20ns,0.7230608100752243,0.88666796875,0.0,0.0,0.0,0.7477022058823529,0.6099056548456703,0.8359407018442623,0.3950617283950617,0.058823529411764705,0.44,
T_whole_only,20ns,_proba,late retained,81,16.0,17.0,64.0,0.6939338235294118,0.5028828472565496,0.8223172778925619,"protein-clustered bootstrap, 5000 draws; fixed score",T_whole_only,20ns,0.5028828472565496,0.8223172778925619,-0.12040441176470584,-0.2399499423104658,-0.04185049019607846,0.6617647058823529,0.49783279220779225,0.7790091036414565,0.2271604938271605,0.058823529411764705,0.376,
Theta_whole_only,20ns,_proba,late retained,81,16.0,17.0,64.0,0.8419117647058824,0.7204026742960263,0.931644736842105,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_whole_only,20ns,0.7204026742960263,0.931644736842105,0.02757352941176472,-0.06038890836839638,0.1064874286341676,0.7164522058823529,0.5977169197300971,0.8174603174603174,0.3358024691358025,0.058823529411764705,0.378,
T_pocket_only,20ns,_proba,late retained,81,16.0,17.0,64.0,0.6920955882352942,0.5506714100464101,0.8042272106228341,"protein-clustered bootstrap, 5000 draws; fixed score",T_pocket_only,20ns,0.5506714100464101,0.8042272106228341,-0.12224264705882348,-0.20773397199705235,-0.05290976535541753,0.6695772058823529,0.5271306590216075,0.7713560267857142,0.2074074074074074,0.058823529411764705,0.338,
Theta_pocket_only,20ns,_proba,late retained,81,16.0,17.0,64.0,0.8492647058823529,0.7318972120098038,0.9285763209393346,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_only,20ns,0.7318972120098038,0.9285763209393346,0.03492647058823528,-0.057535841391351046,0.10841037210410408,0.7242647058823529,0.6111111111111112,0.8188511225944403,0.35555555555555557,0.058823529411764705,0.426,
T_whole_plus_Theta_whole,20ns,_proba,late retained,81,16.0,17.0,64.0,0.8216911764705882,0.7085690072639225,0.9031145167718453,"protein-clustered bootstrap, 5000 draws; fixed score",T_whole_plus_Theta_whole,20ns,0.7085690072639225,0.9031145167718453,0.007352941176470562,-0.03749999999999998,0.04072668358560674,0.7104779411764706,0.5671975806451612,0.8229683248897645,0.3950617283950617,0.058823529411764705,0.404,
T_pocket_plus_Theta_pocket,20ns,_proba,late retained,81,16.0,17.0,64.0,0.8327205882352942,0.7255526400843738,0.9131064162754304,"protein-clustered bootstrap, 5000 draws; fixed score",T_pocket_plus_Theta_pocket,20ns,0.7255526400843738,0.9131064162754304,0.018382352941176516,-0.057699275362318746,0.084181179368299,0.7614889705882353,0.6442212566844919,0.8550772311212814,0.4148148148148148,0.058823529411764705,0.482,
near_boundary_rmsd_only_20ns,,,,52,,,,0.7478991596638656,,,,rmsd_only,20ns,,,,,,,,,,,,near_boundary
near_boundary_T_whole_only_20ns,,,,52,,,,0.6,,,,T_whole_only,20ns,,,,,,,,,,,,near_boundary
near_boundary_Theta_whole_only_20ns,,,,52,,,,0.8033613445378152,,,,Theta_whole_only,20ns,,,,,,,,,,,,near_boundary
near_boundary_T_pocket_only_20ns,,,,52,,,,0.5831932773109244,,,,T_pocket_only,20ns,,,,,,,,,,,,near_boundary
near_boundary_Theta_pocket_only_20ns,,,,52,,,,0.8184873949579832,,,,Theta_pocket_only,20ns,,,,,,,,,,,,near_boundary
near_boundary_T_whole_plus_Theta_whole_20ns,,,,52,,,,0.7747899159663866,,,,T_whole_plus_Theta_whole,20ns,,,,,,,,,,,,near_boundary
near_boundary_T_pocket_plus_Theta_pocket_20ns,,,,52,,,,0.7815126050420168,,,,T_pocket_plus_Theta_pocket,20ns,,,,,,,,,,,,near_boundary
theta_pocket_6A,20ns,Theta_pocket_6A_mean_18_20,late non-retained,81,16.0,17.0,64.0,0.8446691176470589,0.7338306628621598,0.9252144607843138,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_6A,20ns,,,,,,,,,,,,radius_sensitivity
theta_pocket_8A,20ns,Theta_pocket_8A_mean_18_20,late non-retained,81,16.0,17.0,64.0,0.8511029411764706,0.7369738051470588,0.927526531580374,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_8A,20ns,,,,,,,,,,,,radius_sensitivity
theta_pocket_10A,20ns,Theta_pocket_10A_mean_18_20,late non-retained,81,16.0,17.0,64.0,0.8465073529411765,0.7336458333333333,0.9251153465126116,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_10A,20ns,,,,,,,,,,,,radius_sensitivity
