protein,ligand,pocket,replica,starting_structure_identical,md5_20ns,md5_100ns,energy_check,n_overlap_points,raw_pe_corr,fluctuation_corr,mean_abs_pe_diff,pe100_std
CIMG_09093,Milbemycin,pocket1,replica_1,True,e3ee826d7053839ab4c40e6d07da5e99,e3ee826d7053839ab4c40e6d07da5e99,ok,999.0,0.00638706519467677,-0.013893690754782688,4538.010435798745,6701.673630650478
CIMG_09093,Milbemycin,pocket12,replica_1,True,623209bb66934082fb3653df6ff369bb,623209bb66934082fb3653df6ff369bb,ok,999.0,-0.005525836547103475,-0.07155905966163895,5482.8477755043805,9352.520569263703
CIMG_09093,Milbemycin,pocket3,replica_1,True,9578a2e86d629e35059990637b0f201f,9578a2e86d629e35059990637b0f201f,ok,999.0,0.028555194525693647,0.03153286536316535,4360.309358993195,6446.684738418433
CIMG_09093,Milbemycin,pocket8,replica_1,True,cd6412f8de03f2a757dba0a4f692ffa5,cd6412f8de03f2a757dba0a4f692ffa5,missing energy log,,,,,
MDR1_CRYNH,Milbemycin,pocket1,replica_1,True,0d048f948d68358fc91800897c392d67,0d048f948d68358fc91800897c392d67,missing energy log,,,,,
MDR1_CRYNH,Milbemycin,pocket12,replica_1,True,40b889629e543c6e2a85f76748cdb14e,40b889629e543c6e2a85f76748cdb14e,insufficient overlap,,,,,
MDR1_CRYNH,Milbemycin,pocket13,replica_1,True,309bb51c33bd355148fb5d9a5d3ddfb4,309bb51c33bd355148fb5d9a5d3ddfb4,ok,999.0,0.03273247178457622,0.032715821379851184,3427.0685161496963,4105.335035812476
MDR1_TRIRC,Milbemycin,pocket11,replica_1,True,129813c39008bc0624eaeba54101dec7,129813c39008bc0624eaeba54101dec7,ok,999.0,0.008806053675704181,-0.009570602248726872,3734.75852271707,6395.6914082001
MDR1_TRIRC,Milbemycin,pocket3,replica_1,True,8c4695103d8a404b18ed569fc3955381,8c4695103d8a404b18ed569fc3955381,ok,999.0,-0.0018439720151983867,-0.017393640302660905,4148.7061061641425,8430.209176708935
MDR1_TRIRC,Milbemycin,pocket4,replica_1,True,95da1bdc726e4c98ec3d81055efbee2c,95da1bdc726e4c98ec3d81055efbee2c,ok,19.0,-0.11238814684631744,0.1479560140055303,4195.593673796148,5332.831456933582
MDR1_TRIRC,Milbemycin,pocket7,replica_1,True,582af7dc24ffc06a84338632dad95ffb,582af7dc24ffc06a84338632dad95ffb,ok,999.0,0.0534337488263799,0.01747293832579963,3173.7664442623336,2775.933809706515
MDR1_TRIRC,Milbemycin,pocket8,replica_1,True,4ebdc6a2952d44b56b7f6d32233d5eba,4ebdc6a2952d44b56b7f6d32233d5eba,ok,999.0,0.01261224265559199,-0.017994262174763517,3877.756969654033,4812.842253410804
MDR2_TRIRC,Milbemycin,pocket10,replica_1,True,4bf13f82bef9e9ef688d200fd52f3323,4bf13f82bef9e9ef688d200fd52f3323,ok,999.0,0.060251976895848,0.05455748636680771,3069.799843346769,3885.6277682939517
MDR2_TRIRC,Milbemycin,pocket14,replica_1,True,583dafedb4f279f8e5d018bf96b6fc07,583dafedb4f279f8e5d018bf96b6fc07,ok,999.0,-0.006705318340531708,-0.013208626770667692,3749.3091782934516,4419.451350500209
MDR2_TRIRC,Milbemycin,pocket15,replica_1,True,3fb8498540df295867e9b21abd503241,3fb8498540df295867e9b21abd503241,ok,999.0,-0.008172042211898815,0.024536436886863452,3212.7788045052876,3355.6399863091333
MDR2_TRIRC,Milbemycin,pocket3,replica_1,True,37da255e9b6829fa80abbf6641e66f2f,37da255e9b6829fa80abbf6641e66f2f,ok,999.0,-0.08441749550494938,-0.025292568807188966,6184.383540176781,5247.4463200705795
MDR2_TRIRC,Milbemycin,pocket9,replica_1,True,d2ec41b0f850f5d53998d634ff1ff60b,d2ec41b0f850f5d53998d634ff1ff60b,ok,999.0,0.064980475650598,0.04822621610887529,7406.540100847708,3514.664739560228
PDH1_CANGA,Milbemycin,pocket12,replica_1,True,12f2ce3c361218f0dc87edb384646e7b,12f2ce3c361218f0dc87edb384646e7b,ok,999.0,0.02711065052928173,-0.042524347722889384,4321.907687808143,8214.818028032982
PDH1_CANGA,Milbemycin,pocket13,replica_1,True,3c3e4eace2b457d1ae988191f0527dcd,3c3e4eace2b457d1ae988191f0527dcd,insufficient overlap,,,,,
PDH1_CANGA,Milbemycin,pocket2,replica_1,True,a84298477400fdcdae08263431566056,a84298477400fdcdae08263431566056,ok,999.0,0.06898037904803465,0.009818005396894529,3395.7308581146067,4825.664861153934
PDH1_CANGA,Milbemycin,pocket3,replica_1,True,44959bf87b9f8caa69970e6bc8bbc319,44959bf87b9f8caa69970e6bc8bbc319,ok,999.0,0.03311323975145365,0.01779907269025388,4318.382298685721,5625.168526215636
PDR5_YEAST,Milbemycin,pocket14,replica_1,True,ebd53ed0f729ea3d18619427f72fe89d,ebd53ed0f729ea3d18619427f72fe89d,insufficient overlap,,,,,
PDR5_YEAST,Milbemycin,pocket15,replica_1,True,4b1744749bf68a36916061bb5c57b464,4b1744749bf68a36916061bb5c57b464,ok,999.0,0.04853200126734128,0.03314643157820591,3736.6019409167616,2926.7092454263375
PDR5_YEAST,Milbemycin,pocket9,replica_1,True,bb518d803489d2b915f3447ec8e46dde,bb518d803489d2b915f3447ec8e46dde,ok,999.0,0.0038470819884035288,0.0042638260407461635,4641.080644874617,8114.9223573650215
SNQ2_CANGA,Milbemycin,pocket2,replica_1,True,0253d87554ee346fd1932ee7e5f184eb,0253d87554ee346fd1932ee7e5f184eb,ok,999.0,0.02493191731307233,0.013448575235789453,4142.614481233798,5076.261201979903
SNQ2_CANGA,Milbemycin,pocket4,replica_1,True,d6750cca680c6969f2b349b63c40fb2f,d6750cca680c6969f2b349b63c40fb2f,ok,999.0,0.0366925687141143,0.015788862811840294,3537.1274095797794,5308.8042455022
SNQ2_CANGA,Milbemycin,pocket5,replica_1,True,c01cf376bab22d7ea211c5b13ac93aba,c01cf376bab22d7ea211c5b13ac93aba,ok,999.0,0.00565537754757889,-0.013688591487437132,4235.23210975033,5022.3922695255205
SNQ2_CANGA,Milbemycin,pocket9,replica_1,True,c9c99405060cb4e0e42b2ca8111b2f63,c9c99405060cb4e0e42b2ca8111b2f63,ok,999.0,0.017223028678090804,0.019310504250102185,4348.896962808239,5138.649362117108
