probability_threshold_continue,n_stopped,n_continued,correct_stop_tn,false_stop_fn,correct_continue_tp,nonretained_continue_fp,false_stop_rate,nonretained_stop_rate,compute_saved_fraction
0.20500000000000002,14,38,14,0,13,25,0.0,0.358974358974359,0.2153846153846154
0.21,14,38,14,0,13,25,0.0,0.358974358974359,0.2153846153846154
0.215,14,38,14,0,13,25,0.0,0.358974358974359,0.2153846153846154
0.22,14,38,14,0,13,25,0.0,0.358974358974359,0.2153846153846154
0.225,14,38,14,0,13,25,0.0,0.358974358974359,0.2153846153846154
0.23,15,37,15,0,13,24,0.0,0.38461538461538464,0.23076923076923078
0.23500000000000001,15,37,15,0,13,24,0.0,0.38461538461538464,0.23076923076923078
0.24,15,37,15,0,13,24,0.0,0.38461538461538464,0.23076923076923078
0.245,15,37,15,0,13,24,0.0,0.38461538461538464,0.23076923076923078
0.25,15,37,15,0,13,24,0.0,0.38461538461538464,0.23076923076923078
0.255,15,37,15,0,13,24,0.0,0.38461538461538464,0.23076923076923078
0.26,15,37,15,0,13,24,0.0,0.38461538461538464,0.23076923076923078
0.265,15,37,15,0,13,24,0.0,0.38461538461538464,0.23076923076923078
0.27,15,37,15,0,13,24,0.0,0.38461538461538464,0.23076923076923078
0.275,15,37,15,0,13,24,0.0,0.38461538461538464,0.23076923076923078
0.28,15,37,15,0,13,24,0.0,0.38461538461538464,0.23076923076923078
0.28500000000000003,15,37,15,0,13,24,0.0,0.38461538461538464,0.23076923076923078
0.29,16,36,16,0,13,23,0.0,0.41025641025641024,0.24615384615384617
0.295,16,36,16,0,13,23,0.0,0.41025641025641024,0.24615384615384617
0.3,16,36,16,0,13,23,0.0,0.41025641025641024,0.24615384615384617
0.305,16,36,16,0,13,23,0.0,0.41025641025641024,0.24615384615384617
0.31,16,36,16,0,13,23,0.0,0.41025641025641024,0.24615384615384617
0.315,16,36,16,0,13,23,0.0,0.41025641025641024,0.24615384615384617
0.32,16,36,16,0,13,23,0.0,0.41025641025641024,0.24615384615384617
0.325,16,36,16,0,13,23,0.0,0.41025641025641024,0.24615384615384617
0.33,16,36,16,0,13,23,0.0,0.41025641025641024,0.24615384615384617
0.335,17,35,17,0,13,22,0.0,0.4358974358974359,0.26153846153846155
0.34,17,35,17,0,13,22,0.0,0.4358974358974359,0.26153846153846155
0.34500000000000003,17,35,17,0,13,22,0.0,0.4358974358974359,0.26153846153846155
0.35000000000000003,18,34,18,0,13,21,0.0,0.46153846153846156,0.27692307692307694
0.355,18,34,18,0,13,21,0.0,0.46153846153846156,0.27692307692307694
0.36,18,34,18,0,13,21,0.0,0.46153846153846156,0.27692307692307694
0.365,18,34,18,0,13,21,0.0,0.46153846153846156,0.27692307692307694
0.37,18,34,18,0,13,21,0.0,0.46153846153846156,0.27692307692307694
0.375,18,34,18,0,13,21,0.0,0.46153846153846156,0.27692307692307694
0.38,18,34,18,0,13,21,0.0,0.46153846153846156,0.27692307692307694
0.385,19,33,19,0,13,20,0.0,0.48717948717948717,0.2923076923076923
0.39,19,33,19,0,13,20,0.0,0.48717948717948717,0.2923076923076923
0.395,19,33,19,0,13,20,0.0,0.48717948717948717,0.2923076923076923
0.4,19,33,19,0,13,20,0.0,0.48717948717948717,0.2923076923076923
0.405,19,33,19,0,13,20,0.0,0.48717948717948717,0.2923076923076923
0.41000000000000003,19,33,19,0,13,20,0.0,0.48717948717948717,0.2923076923076923
0.41500000000000004,19,33,19,0,13,20,0.0,0.48717948717948717,0.2923076923076923
0.42,20,32,20,0,13,19,0.0,0.5128205128205128,0.3076923076923077
0.425,22,30,21,1,12,18,0.07692307692307693,0.5384615384615384,0.3384615384615385
0.43,22,30,21,1,12,18,0.07692307692307693,0.5384615384615384,0.3384615384615385
0.435,22,30,21,1,12,18,0.07692307692307693,0.5384615384615384,0.3384615384615385
0.44,23,29,22,1,12,17,0.07692307692307693,0.5641025641025641,0.35384615384615387
0.445,23,29,22,1,12,17,0.07692307692307693,0.5641025641025641,0.35384615384615387
0.45,23,29,22,1,12,17,0.07692307692307693,0.5641025641025641,0.35384615384615387
0.455,24,28,23,1,12,16,0.07692307692307693,0.5897435897435898,0.36923076923076925
0.46,25,27,24,1,12,15,0.07692307692307693,0.6153846153846154,0.38461538461538464
0.465,26,26,24,2,11,15,0.15384615384615385,0.6153846153846154,0.4
0.47000000000000003,27,25,25,2,11,14,0.15384615384615385,0.6410256410256411,0.4153846153846154
0.47500000000000003,27,25,25,2,11,14,0.15384615384615385,0.6410256410256411,0.4153846153846154
0.48,28,24,26,2,11,13,0.15384615384615385,0.6666666666666666,0.4307692307692308
0.485,28,24,26,2,11,13,0.15384615384615385,0.6666666666666666,0.4307692307692308
0.49,28,24,26,2,11,13,0.15384615384615385,0.6666666666666666,0.4307692307692308
0.495,28,24,26,2,11,13,0.15384615384615385,0.6666666666666666,0.4307692307692308
0.5,28,24,26,2,11,13,0.15384615384615385,0.6666666666666666,0.4307692307692308
0.505,29,23,27,2,11,12,0.15384615384615385,0.6923076923076923,0.4461538461538462
0.51,29,23,27,2,11,12,0.15384615384615385,0.6923076923076923,0.4461538461538462
0.515,29,23,27,2,11,12,0.15384615384615385,0.6923076923076923,0.4461538461538462
0.52,29,23,27,2,11,12,0.15384615384615385,0.6923076923076923,0.4461538461538462
0.525,30,22,28,2,11,11,0.15384615384615385,0.717948717948718,0.46153846153846156
0.53,31,21,29,2,11,10,0.15384615384615385,0.7435897435897436,0.47692307692307695
0.535,32,20,29,3,10,10,0.23076923076923078,0.7435897435897436,0.49230769230769234
0.54,32,20,29,3,10,10,0.23076923076923078,0.7435897435897436,0.49230769230769234
0.545,33,19,30,3,10,9,0.23076923076923078,0.7692307692307693,0.5076923076923077
0.55,33,19,30,3,10,9,0.23076923076923078,0.7692307692307693,0.5076923076923077
0.555,34,18,31,3,10,8,0.23076923076923078,0.7948717948717948,0.5230769230769231
0.56,34,18,31,3,10,8,0.23076923076923078,0.7948717948717948,0.5230769230769231
0.5650000000000001,35,17,32,3,10,7,0.23076923076923078,0.8205128205128205,0.5384615384615384
0.5700000000000001,35,17,32,3,10,7,0.23076923076923078,0.8205128205128205,0.5384615384615384
0.5750000000000001,36,16,33,3,10,6,0.23076923076923078,0.8461538461538461,0.5538461538461539
0.58,36,16,33,3,10,6,0.23076923076923078,0.8461538461538461,0.5538461538461539
0.585,36,16,33,3,10,6,0.23076923076923078,0.8461538461538461,0.5538461538461539
0.59,36,16,33,3,10,6,0.23076923076923078,0.8461538461538461,0.5538461538461539
0.595,37,15,33,4,9,6,0.3076923076923077,0.8461538461538461,0.5692307692307692
0.6,37,15,33,4,9,6,0.3076923076923077,0.8461538461538461,0.5692307692307692
0.605,37,15,33,4,9,6,0.3076923076923077,0.8461538461538461,0.5692307692307692
0.61,37,15,33,4,9,6,0.3076923076923077,0.8461538461538461,0.5692307692307692
0.615,37,15,33,4,9,6,0.3076923076923077,0.8461538461538461,0.5692307692307692
0.62,38,14,33,5,8,6,0.38461538461538464,0.8461538461538461,0.5846153846153846
0.625,38,14,33,5,8,6,0.38461538461538464,0.8461538461538461,0.5846153846153846
0.63,38,14,33,5,8,6,0.38461538461538464,0.8461538461538461,0.5846153846153846
0.635,39,13,34,5,8,5,0.38461538461538464,0.8717948717948718,0.6
0.64,39,13,34,5,8,5,0.38461538461538464,0.8717948717948718,0.6
0.645,39,13,34,5,8,5,0.38461538461538464,0.8717948717948718,0.6
0.65,39,13,34,5,8,5,0.38461538461538464,0.8717948717948718,0.6
0.655,39,13,34,5,8,5,0.38461538461538464,0.8717948717948718,0.6
0.66,40,12,35,5,8,4,0.38461538461538464,0.8974358974358975,0.6153846153846154
0.665,41,11,35,6,7,4,0.46153846153846156,0.8974358974358975,0.6307692307692307
0.67,41,11,35,6,7,4,0.46153846153846156,0.8974358974358975,0.6307692307692307
0.675,41,11,35,6,7,4,0.46153846153846156,0.8974358974358975,0.6307692307692307
0.68,41,11,35,6,7,4,0.46153846153846156,0.8974358974358975,0.6307692307692307
0.685,42,10,35,7,6,4,0.5384615384615384,0.8974358974358975,0.6461538461538462
0.6900000000000001,42,10,35,7,6,4,0.5384615384615384,0.8974358974358975,0.6461538461538462
0.6950000000000001,43,9,35,8,5,4,0.6153846153846154,0.8974358974358975,0.6615384615384615
0.7000000000000001,43,9,35,8,5,4,0.6153846153846154,0.8974358974358975,0.6615384615384615
0.705,43,9,35,8,5,4,0.6153846153846154,0.8974358974358975,0.6615384615384615
0.71,43,9,35,8,5,4,0.6153846153846154,0.8974358974358975,0.6615384615384615
0.715,43,9,35,8,5,4,0.6153846153846154,0.8974358974358975,0.6615384615384615
0.72,43,9,35,8,5,4,0.6153846153846154,0.8974358974358975,0.6615384615384615
0.725,44,8,36,8,5,3,0.6153846153846154,0.9230769230769231,0.676923076923077
0.73,45,7,36,9,4,3,0.6923076923076923,0.9230769230769231,0.6923076923076923
0.735,45,7,36,9,4,3,0.6923076923076923,0.9230769230769231,0.6923076923076923
0.74,46,6,36,10,3,3,0.7692307692307693,0.9230769230769231,0.7076923076923077
0.745,47,5,36,11,2,3,0.8461538461538461,0.9230769230769231,0.7230769230769231
0.75,48,4,36,12,1,3,0.9230769230769231,0.9230769230769231,0.7384615384615385
0.755,49,3,36,13,0,3,1.0,0.9230769230769231,0.7538461538461538
0.76,49,3,36,13,0,3,1.0,0.9230769230769231,0.7538461538461538
0.765,49,3,36,13,0,3,1.0,0.9230769230769231,0.7538461538461538
0.77,50,2,37,13,0,2,1.0,0.9487179487179487,0.7692307692307693
0.775,50,2,37,13,0,2,1.0,0.9487179487179487,0.7692307692307693
0.78,50,2,37,13,0,2,1.0,0.9487179487179487,0.7692307692307693
0.785,50,2,37,13,0,2,1.0,0.9487179487179487,0.7692307692307693
0.79,50,2,37,13,0,2,1.0,0.9487179487179487,0.7692307692307693
0.795,50,2,37,13,0,2,1.0,0.9487179487179487,0.7692307692307693
0.8,50,2,37,13,0,2,1.0,0.9487179487179487,0.7692307692307693
0.805,50,2,37,13,0,2,1.0,0.9487179487179487,0.7692307692307693
0.81,50,2,37,13,0,2,1.0,0.9487179487179487,0.7692307692307693
0.8150000000000001,50,2,37,13,0,2,1.0,0.9487179487179487,0.7692307692307693
0.8200000000000001,50,2,37,13,0,2,1.0,0.9487179487179487,0.7692307692307693
0.8250000000000001,50,2,37,13,0,2,1.0,0.9487179487179487,0.7692307692307693
0.8300000000000001,50,2,37,13,0,2,1.0,0.9487179487179487,0.7692307692307693
0.835,51,1,38,13,0,1,1.0,0.9743589743589743,0.7846153846153846
0.84,51,1,38,13,0,1,1.0,0.9743589743589743,0.7846153846153846
0.845,52,0,39,13,0,0,1.0,1.0,0.8
0.85,52,0,39,13,0,0,1.0,1.0,0.8
0.855,52,0,39,13,0,0,1.0,1.0,0.8
0.86,52,0,39,13,0,0,1.0,1.0,0.8
0.865,52,0,39,13,0,0,1.0,1.0,0.8
0.87,52,0,39,13,0,0,1.0,1.0,0.8
0.875,52,0,39,13,0,0,1.0,1.0,0.8
0.88,52,0,39,13,0,0,1.0,1.0,0.8
0.885,52,0,39,13,0,0,1.0,1.0,0.8
